slide_id,anchor_rank,anchor_score,anchor_coord_x,anchor_coord_y,anchor_center_x,anchor_center_y,anchor_bbox_x0,anchor_bbox_y0,anchor_bbox_x1,anchor_bbox_y1,neighbor_count,top_class,top_class_name,top_concept,top_prompt_index,center_patch_index,nms_radius,nms_suppressed_by_rank,selection_note
2462478-B2,5,0.4974742829799652,40449.0,50800.0,40577.0,50928.0,40449.0,50800.0,40705.0,51056.0,1,0,Adenocarcinoma,papillary architecture,2,89,512.0,,ok
2462478-B2,6,0.4944530129432678,41649.0,52512.0,41777.0,52640.0,41649.0,52512.0,41905.0,52768.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,90,512.0,,ok
2462478-B2,7,0.49204617738723755,48641.0,46704.0,48769.0,46832.0,48641.0,46704.0,48897.0,46960.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,109,512.0,,ok
2462478-B2,8,0.4891014099121094,109509.0,39472.0,109637.0,39600.0,109509.0,39472.0,109765.0,39728.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,12,512.0,,ok
2462478-B2,9,0.4845961332321167,37553.0,52512.0,37681.0,52640.0,37553.0,52512.0,37809.0,52768.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,80,512.0,,ok
2462478-B2,10,0.4807124137878418,69121.0,38512.0,69249.0,38640.0,69121.0,38512.0,69377.0,38768.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,139,512.0,,ok
2462478-B2,11,0.47831791639328003,56833.0,50800.0,56961.0,50928.0,56833.0,50800.0,57089.0,51056.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,127,512.0,,ok
2462478-B2,12,0.4761083722114563,52737.0,50800.0,52865.0,50928.0,52737.0,50800.0,52993.0,51056.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,121,512.0,,ok
2462478-B2,13,0.4755128026008606,36353.0,38512.0,36481.0,38640.0,36353.0,38512.0,36609.0,38768.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,77,512.0,,ok
2462478-B2,14,0.4744296371936798,40449.0,38512.0,40577.0,38640.0,40449.0,38512.0,40705.0,38768.0,1,0,Adenocarcinoma,acinar growth pattern,1,86,512.0,,ok
2462478-B2,15,0.46840256452560425,36353.0,42608.0,36481.0,42736.0,36353.0,42608.0,36609.0,42864.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,78,512.0,,ok
2462478-B2,16,0.46794694662094116,40449.0,42608.0,40577.0,42736.0,40449.0,42608.0,40705.0,42864.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,87,512.0,,ok
2462598-B,1,0.4676055610179901,20224.0,30098.0,20352.0,30226.0,20224.0,30098.0,20480.0,30354.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,88,512.0,,ok
2462598-B,2,0.4643082022666931,113600.0,18642.0,113728.0,18770.0,113600.0,18642.0,113856.0,18898.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,38,512.0,,ok
2462598-B,3,0.4564632177352905,36608.0,30098.0,36736.0,30226.0,36608.0,30098.0,36864.0,30354.0,1,0,Adenocarcinoma,infiltrative glandular adenocarcinoma,6,120,512.0,,ok
2462598-B,4,0.4507235586643219,113600.0,22738.0,113728.0,22866.0,113600.0,22738.0,113856.0,22994.0,1,0,Adenocarcinoma,alveolar replacement by atypical glands,11,39,512.0,,ok
2462598-B,5,0.4461076855659485,28416.0,71058.0,28544.0,71186.0,28416.0,71058.0,28672.0,71314.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,108,512.0,,ok
2462598-B,6,0.4380142092704773,117696.0,39122.0,117824.0,39250.0,117696.0,39122.0,117952.0,39378.0,1,1,NonAdenocarcinoma,sarcomatoid spindle cell morphology,4,55,512.0,,ok
2462598-B,7,0.4373282492160797,40704.0,30098.0,40832.0,30226.0,40704.0,30098.0,40960.0,30354.0,1,1,NonAdenocarcinoma,fibroinflammatory scar-like lesion,8,130,512.0,,ok
2462598-B,8,0.4371088445186615,28416.0,26002.0,28544.0,26130.0,28416.0,26002.0,28672.0,26258.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,101,512.0,,ok
2462598-B,9,0.436336874961853,32512.0,30098.0,32640.0,30226.0,32512.0,30098.0,32768.0,30354.0,1,0,Adenocarcinoma,solid growth pattern,4,110,512.0,,ok
2462598-B,10,0.43471530079841614,24320.0,26002.0,24448.0,26130.0,24320.0,26002.0,24576.0,26258.0,1,1,NonAdenocarcinoma,benign reactive lung tissue,9,95,512.0,,ok
